[flow_timeseries,1.0.0] - (,datetime,site_name,site_nodeuuid,site_internal_id,longitude,latitude,device_kind,flow) 
[flow_timeseries,1.0.0] - (30,2025-08-08 07:30:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,30.655558) 
[flow_timeseries,1.0.0] - (31,2025-08-08 07:45:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,33.755558) 
[flow_timeseries,1.0.0] - (32,2025-08-08 08:00:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,31.400002) 
[flow_timeseries,1.0.0] - (33,2025-08-08 08:15:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,32.355556) 
[flow_timeseries,1.0.0] - (34,2025-08-08 08:30:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,31.322224) 
[flow_timeseries,1.0.0] - (35,2025-08-08 08:45:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,30.777779) 
[flow_timeseries,1.0.0] - (36,2025-08-08 09:00:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,30.233334) 
[flow_timeseries,1.0.0] - (37,2025-08-08 09:15:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,30.866669) 
[flow_timeseries,1.0.0] - (38,2025-08-08 09:30:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,29.233334) 
[flow_timeseries,1.0.0] - (39,2025-08-08 09:45:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,28.255556) 
[flow_timeseries,1.0.0] - (40,2025-08-08 10:00:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,28.166668) 
[flow_timeseries,1.0.0] - (41,2025-08-08 10:15:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,26.955557) 
[flow_timeseries,1.0.0] - (42,2025-08-08 10:30:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,26.900002) 
[flow_timeseries,1.0.0] - (43,2025-08-08 10:45:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,27.344446) 
[flow_timeseries,1.0.0] - (44,2025-08-08 11:00:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,28.7) 
[flow_timeseries,1.0.0] - (45,2025-08-08 11:15:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,27.88889) 
[flow_timeseries,1.0.0] - (46,2025-08-08 11:30:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,28.28889) 
[flow_timeseries,1.0.0] - (47,2025-08-08 11:45:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,29.322224) 
[flow_timeseries,1.0.0] - (48,2025-08-08 12:00:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,30.466667) 
[flow_timeseries,1.0.0] - (49,2025-08-08 12:15:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,28.422224) 
[flow_timeseries,1.0.0] - (50,2025-08-08 12:30:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,26.633335) 
[flow_timeseries,1.0.0] - (51,2025-08-08 12:45:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,25.68889) 
[flow_timeseries,1.0.0] - (52,2025-08-08 13:00:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,25.866667) 
[flow_timeseries,1.0.0] - (53,2025-08-08 13:15:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,24.511112) 
[flow_timeseries,1.0.0] - (54,2025-08-08 13:30:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,23.800001) 
[flow_timeseries,1.0.0] - (55,2025-08-08 13:45:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,23.88889) 
[flow_timeseries,1.0.0] - (56,2025-08-08 14:00:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,25.47778) 
[flow_timeseries,1.0.0] - (57,2025-08-08 14:15:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,23.955557) 
[flow_timeseries,1.0.0] - (58,2025-08-08 14:30:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,24.788889) 
[flow_timeseries,1.0.0] - (59,2025-08-08 14:45:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,24.2) 
[flow_timeseries,1.0.0] - (60,2025-08-08 15:00:00,inlet_2005,2ff1be8e-116f-11ef-bee7-ecebb886fd8c,672922316_1,-2.515096701771522,51.471364520180025,technolog,24.68889) 
